,,,RENSEIGNMENTS SUR L'EMPLACEMENT,,,RENSEIGNMENTS SUR LA STRUCTURE,,,,,,,,,,,RENSEIGNMENTS ADMINISTRATIVES,,,,RENSEIGNMENTS DE L'INSPECTION (IEP = Indice de l'état du pont),,,,,,,,,,,,,,,,,,,
14 - 295/C,JERICHO CREEK CULVERT,,21,43.19907444,-81.91395155,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1938,,2016,1,Total=7.6  (1)=7.6;,18.3,,West,,Open to traffic,Provincial,06/28/2017,71.7,71.7,,69.4,,70.1,,71.2,,69.5,,67.7,,70.9,71.5,,69.4,65.7,
14 - 328/,MURPHY ROAD UNDERPASS,MURPHY ROAD PASSAGE INFÉRIEUR ,402,42.98681911,-82.36630809,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1968,2011,1997,5,Total=84  (1)=11;(2)=19;(3)=24;(4)=19;(5)=11;,84.1,20.11,West,,Open to traffic,Provincial,07/11/2017,75.8,75.8,,76.3,,77.5,,78.7,,69.5,,68.5,,68.7,68.5,,67.2,67.9,
14 - 332/1,CNR OVERHEAD  (NBL),Viaduc du CNR - VDN,40,42.92948103,-82.4129119,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1972,2010,,4,Total=56  (1)=11;(2)=17;(3)=17;(4)=11;,58,10.97,West,,Open to traffic,Provincial,07/11/2017,76.1,76.1,,76.9,,78.4,79.4,73.9,,73.9,,73.3,,73.7,87.9,,67.9,67.9,
14 - 332/2,CNR OVERHEAD  (SBL),Viaduc du CNR - VDS,40,42.9294884,-82.4131813,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1972,2011,,4,Total=56  (1)=11;(2)=17;(3)=17;(4)=11;,58,10.97,West,,Open to traffic,Provincial,07/11/2017,76.8,76.8,,77.8,,79.2,79.3,74.4,,74.4,,73.9,,74.2,88.6,,67.8,67.8,
14 - 337/1,CNR OVERHEAD  EBL,Viaduc du CNR - VDE,402,42.9876061,-82.35848682,Bridge,Beam/Girder,Hollow Slab/Adjacent Box Beams,Prestressed Precast Concrete,1976,2000,1996,3,Total=43  (1)=14;(2)=15;(3)=14;,42.7,13.05,West,,Open to traffic,Provincial,05/12/2017,73.3,73.3,,73.7,,73.8,,73.8,,74.1,,76.3,,76,75.1,,71.4,68,
14 - 337/2,CNR OVERHEAD  WBL,Viaduc du CNR - VDO,402,42.98777372,-82.35848279,Bridge,Beam/Girder,Hollow Slab/Adjacent Box Beams,Prestressed Precast Concrete,1976,2000,,3,Total=43  (1)=14;(2)=15;(3)=14;,42.7,13.05,West,,Open to traffic,Provincial,05/12/2017,73,73,,73.2,,73.6,,74,,74.3,,74.8,,75.3,74.3,,72,68,
14 - 338/1,MODELAND ROAD OVERPASS (EBL),MODELAND ROAD PASSAGE SUPÉRIEUR (VDE) ,402,42.990447,-82.343817,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1975,2000,2013,4,Total=72  (1)=13;(2)=23;(3)=23;(4)=13;,72.9,22.3,West,,Open to traffic,Provincial,08/21/2017,74.2,74.2,,74.5,,74.5,,74.2,,74.4,,74.7,,75.7,75.7,,74.7,68,
14 - 338/2,MODELAND ROAD OVERPASS (WBL),MODELAND ROAD PASSAGE SUPÉRIEUR (VDO) ,402,42.990744,-82.34383,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1975,2000,2013,4,Total=72  (1)=13;(2)=23;(3)=23;(4)=13;,72.9,22.3,West,,Open to traffic,Provincial,08/21/2017,73.5,73.5,,73.6,,73.7,,74.3,,74.4,,74.7,,74.7,82.5,,72.8,68,
14 - 339/,BLACKWELL ROAD UNDERPASS,BLACKWELL ROAD PASSAGE INFÉRIEUR ,402,42.990418,-82.32109,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1975,2004,,2,Total=62  (1)=31;(2)=31;,63.5,10.36,West,,Open to traffic,Provincial,06/22/2017,73.1,73.1,,73.2,,73.5,,74.2,,74.6,,75.8,,76.7,66,,65.1,66.4,
14 - 340/,AIRPORT ROAD UNDERPASS,AIRPORT ROAD PASSAGE INFÉRIEUR ,402,42.990079,-82.309944,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1975,2004,,2,Total=67  (1)=33.5;(2)=33.5;,69.6,16.3,West,,Open to traffic,Provincial,06/22/2017,73.7,73.7,,73.9,,74.4,,74.4,,74.6,,75.7,,77.4,64.1,,64.1,67.4,
14 - 341/1,WAWANOSH DRAIN  BRIDGE  E.B.L.,PONT WAWANOSH DRAIN VDE ,402,42.99052655,-82.33468015,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1975,2000,,1,Total=26  (1)=26;,27.4,13.4,West,,Open to traffic,Provincial,07/26/2017,71.8,71.8,,71.8,,72.3,,72.4,,72.8,,73.1,,83.6,74.8,,72.5,68,
14 - 341/2,Wawanosh Drain Bridge W.B.L.,PONT Wawanosh Drain VDO ,402,42.99079973,-82.33442482,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1975,2000,,1,Total=24  (1)=24;,27.4,18.04,West,,Open to traffic,Provincial,07/26/2017,72.7,72.7,,72.8,,73.1,,73.1,,73.2,,73.1,,73.7,73,,70.1,68,
14 - 346/,WATERWORKS RD UNDERPASS,WÀERWORKS RD PASSAGE INFÉRIEUR ,402,42.99384526,-82.25390711,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1975,2004,2011,2,Total=76.8  (1)=38.4;(2)=38.4;,79.3,10.36,West,,Open to traffic,Provincial,06/22/2017,72.6,72.6,,72.9,,73,,73.2,,73.4,,73,,74,64.8,,64.8,67.8,
14 - 347/,Mandaumin Road  Underpass (COUNTY ROAD #26),RTE #26 PASSAGE INFÉRIEUR,402,42.993389,-82.231622,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1975,2006,2004,2,Total=83.6  (1)=41.8;(2)=41.8;,85.5,18.3,West,,Open to traffic,Provincial,08/23/2017,71.8,71.8,,72.2,,71.6,,72.7,,73.6,,72.7,,65.7,65.6,,69.6,71.7,
14 - 348/,CAMLACHIE ROAD UNDERPASS,CAMLACHIE ROAD PASSAGE INFÉRIEUR ,402,42.992112,-82.163441,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1975,2006,2011,2,Total=76.8  (1)=38.4;(2)=38.4;,78.8,9.76,West,,Open to traffic,Provincial,07/18/2017,73,73,,73.8,,74.1,,74.8,,74.9,,74.1,,66.9,67.4,,66.3,67.7,
14 - 349/,Oil Heritage Road Underpass (COUNTY ROAD #21) ,COUNTY ROAD #21 PASSAGE INFÉRIEUR ,402,42.991469,-82.117676,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1975,2008,2011,2,Total=84  (1)=42;(2)=42;,85.5,18.3,West,,Open to traffic,Provincial,08/23/2017,74.2,74.2,,74.7,,75,,76.2,,76.8,,77.3,,71.2,81.8,,68.1,68.8,
14 - 350/,UTTOXETER ROAD UNDERPASS (TOWNSHIP ROAD),UTTOXETER ROAD PASSAGE INFÉRIEUR (TOWNSHIP ROAD) ,402,42.991155,-82.049604,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1975,2004,2006,2,Total=76  (1)=38;(2)=38;,78.8,9.75,West,,Open to traffic,Provincial,07/18/2017,73.9,73.9,,74.2,,74.4,,74.7,,74.7,,75.5,,75.7,70.9,,70.8,68.5,
14 - 351/,HIGHWAY #21 UNDERPASS,ROUTE #21 PASSAGE INFÉRIEUR ,402,42.991349,-82.003903,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1975,2006,2011,2,Total=83.8  (1)=42;(2)=41.8;,85.5,18.3,West,,Open to traffic,Provincial,08/23/2017,72.2,72.2,,72.9,,73,,73.5,,73.4,,72.8,,67.6,68.7,,67.7,67.4,
14 - 352/,London Line (aka Lambton Road 22) Underpass,LIGNE LONDON (RTE #22 LAMBTON) PASSAGE INFÉRIEUR,402,42.989948,-81.958886,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1978,2011,2002,2,Total=98  (1)=46;(2)=52;,100.1,10.36,West,,Open to traffic,Provincial,05/31/2017,75.6,75.6,,76.1,,77.2,79,66.1,,66.1,,60.9,,62,65.8,,64.1,64.7,
14 - 353/1,BEAR CREEK BRIDGE (EBL),PONT DU RUISSEAU BEAR (VDE) ,402,42.98950085,-81.9546567,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1978,2000,,1,Total=23  (1)=23;,23.1,14.3,West,,Open to traffic,Provincial,05/10/2017,74,74,,74,,74.2,,74.7,,74.8,,72.9,,72.4,81.7,,68,68,
14 - 353/2,BEAR CREEK BRIDGE (WBL),BEAR PONT DU RUISSEAU (VDO) ,402,42.9899059,-81.95467525,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1978,2000,,1,Total=23  (1)=23;,23.1,13.06,West,,Open to traffic,Provincial,05/10/2017,71.8,71.8,,71.9,,73,,73.8,,73.9,,71.5,,78.2,73.3,,71.2,67.9,
14 - 354/,FIRST SCHOOL ROAD UNDERPASS,FIRST SCHOOL ROAD PASSAGE INFÉRIEUR ,402,42.991956,-81.924867,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1978,2011,,2,Total=76  (1)=38;(2)=38;,77.3,9.75,West,,Open to traffic,Provincial,05/19/2017,72.9,72.9,,73.6,,74.1,,68.7,,69.2,,66.2,,64.2,67.2,,67.2,67.7,
14 - 355/,HIGHWAY #79 UNDERPASS,ROUTE #79 PASSAGE INFÉRIEUR ,402,42.992061,-81.879628,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1978,2009,2006,2,Total=84  (1)=42;(2)=42;,85.5,18.29,West,,Open to traffic,Provincial,05/10/2017,73.3,73.3,,73.5,,74.6,,75.7,,75.7,,65.5,,62.6,67.8,,66.8,66.4,
14 - 356/,ARKONA ROAD UNDERPASS,ARKONA ROAD PASSAGE INFÉRIEUR ,402,42.992135,-81.834253,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1978,2011,,2,Total=76  (1)=38;(2)=38;,77.3,9.75,West,,Open to traffic,Provincial,05/19/2017,74.7,74.7,,75.6,,76.6,,76.6,,71.4,,67.7,,67.6,68.5,,67.3,67.7,
14 - 357/1,PERCH (COW) CREEK BR (EBL),Pont PERCH (COW) CREEK(VDE) ,402,42.99271472,-82.20463752,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1976,2007,,1,Total=9  (1)=9;,10.3,13.06,West,,Open to traffic,Provincial,07/18/2017,72,72,,72.3,,72.3,,74.4,,74.9,,78.2,,73.3,73.3,,67.9,68,
14 - 357/2,PERCH (COW) CREEK BR (WBL),Pont PERCH (COW) CREEK (VDO) ,402,42.9931685,-82.2049207,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1976,2007,,1,Total=9  (1)=9;,10.3,13.06,West,,Open to traffic,Provincial,07/18/2017,72.3,72.3,,73,,73,,73.5,,74.8,,77.6,,71.7,72,,68.6,68,
14 - 361/,SEXTON ROAD UNDERPASS,SEXTON ROAD PASSAGE INFÉRIEUR ,402,42.992191,-81.78886,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1978,2011,,2,Total=76  (1)=38;(2)=38;,76.8,8.79,West,,Open to traffic,Provincial,05/19/2017,74.6,74.6,,75.1,,75.8,,70.4,,71.1,,68.1,,68.2,68.2,,68,68,
14 - 363/1,FRONT ST/CNR OVERPASS (EBL),FRONT ST/VIADUC CNRR (VDE) ,402,42.9881355,-82.40372904,Bridge,Slab,Solid Slab,Post-Tensioned Cast-In-Place Concrete,1981,,,5,Total=68  (1)=14;(2)=15;(3)=14;(4)=15;(5)=10;,70,14,West,,Open to traffic,Provincial,06/09/2017,73.6,73.6,,73.8,,74,,74.2,,74.4,,72.7,,73,89.5,,94.1,67.7,
14 - 363/2,FRONT ST/CNR OVERPASS (WBL),FRONT ST/VIADUC CNRR (VDO) ,402,42.98837654,-82.40372716,Bridge,Slab,Solid Slab,Post-Tensioned Cast-In-Place Concrete,1981,2011,,5,Total=68  (1)=14;(2)=15;(3)=14;(4)=15;(5)=10;,71.3,31.8,West,,Open to traffic,Provincial,06/09/2017,77.8,77.8,,78.7,,81.2,85,74.3,,74.3,,74.3,,74.4,91.4,,94.5,67.5,
14 - 365/1,TALFORD CREEK BRIDGE (NBL),PONT DU RUISSEAU TALFORD (VDN) ,40,42.910368,-82.4131294,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1972,2011,2013,1,Total=18  (1)=18;,20.6,12.8,West,,Open to traffic,Provincial,05/29/2017,80.2,80.2,,81.6,,82.7,82.8,72.2,,72.2,,70.2,,70.4,80.7,,67.7,68,
14 - 365/2,TALFORD CREEK BRIDGE (SBL),PONT DU RUISSEAU TALFORD (VDS) ,40,42.9103241,-82.413404,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1972,2011,2013,1,Total=18  (1)=18;,20.6,12.8,West,,Open to traffic,Provincial,05/29/2017,80.6,80.6,,81.3,,82.2,82.5,71.1,,71.1,,69.8,,69.6,80.2,,67.1,67.5,
14 - 372/1,TELFER DIVERSION BRIDGE (EBL),PONT TELFER DIVERSION (VDE) ,402,42.9937061,-82.2910471,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1975,2000,,2,Total=39  (1)=19.5;(2)=19.5;,39.4,13.04,West,,Open to traffic,Provincial,07/26/2017,73.5,73.5,,73.5,,73.7,,73.9,,74.2,,74.5,,74.5,89.9,,80.6,75.6,
14 - 372/2,TELFER DIVERSION BRIDGE (WBL),TELFER DIVERSION PONT (VDO) ,402,42.99411285,-82.2913132,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1975,2000,,2,Total=39  (1)=19.5;(2)=19.5;,39.4,13.04,West,,Open to traffic,Provincial,07/26/2017,73.6,73.6,,73.8,,74.1,,74.2,,74.5,,74.8,,74.8,84.4,,72.1,68,
14 - 377/1,CNR OVERHEAD NBL,VIADUC DU CNR VDN ,40,42.876027,-82.414268,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,1976,2011,,3,Total=40  (1)=12;(2)=16;(3)=12;,42.5,13.06,West,,Open to traffic,Provincial,05/29/2017,78.1,78.1,,78.5,,79.6,78.7,70.2,,70.2,,69.2,,70.6,83.6,,83.8,66,
14 - 377/2,CNR OVERHEAD SBL,VIADUC DU CNR VDS ,40,42.876022,-82.414672,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,1976,2011,,3,Total=40  (1)=12;(2)=16;(3)=12;,42.5,13.06,West,,Open to traffic,Provincial,05/29/2017,78.1,78.1,,78.4,,79.6,79.6,71.7,,71.7,,70.4,,70.4,81.2,,85.9,66.6,
14 - 389/,W. Darcy McKeough Bridge,PONT W. Darcy McKeough ,40,42.6970459,-82.4282365,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1981,2001,,3,Total=66.2  (1)=21.5;(2)=23.2;(3)=21.5;,68.7,13.06,West,,Open to traffic,Provincial,08/30/2017,72,72,,72.4,,72.7,,72.9,,73.2,,74.3,,74.9,74.6,,,66.7,
14 - 399/C,CULVERT - RIVERS-LAPISH MUN. DRAIN,,40,42.71652423,-82.4284228,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1975,,,1,Total=4;  (1)=4;,26.22,,West,,Open to traffic,Provincial,07/14/2017,72.5,72.5,,72.9,,73.5,,73.5,,74.5,,74.6,,74.4,69,,69,67.7,
14 - 401/C,HWY #40/CON #5(10X6X86),,40,42.82666385,-82.41710877,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1975,,2007,1,Total=3;  (1)=3;,26.21,,West,,Open to traffic,Provincial,07/14/2017,69.3,69.3,,69.8,,72.3,,72.7,,74.3,,75,,73.8,70.5,,95.2,67.9,
14 - 402/C,HWY #40/CON #6(10X4X92),,40,42.83238288,-82.41628951,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1975,,2007,1,Total=3;  (1)=3;,28.04,,West,,Open to traffic,Provincial,07/14/2017,62.2,62.2,,62.4,,64.6,,65.5,,70.3,,75,,73.8,63.6,,92.3,67.9,
14 - 403/C,HWY #40/TWP RD #6(12X6X91),,40,42.83904079,-82.41599703,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1975,,2007,1,Total=3.05  (1)=3.05;,48,,West,,Open to traffic,Provincial,07/14/2017,77.6,77.6,,81.1,,83.6,,85,,85.6,,85.5,,68.1,67.6,,93,67.6,
14 - 404/C,HWY #40/TWP RD #8(10X4X165),,40,42.86353357,-82.41507717,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1975,,2007,1,Total=3;  (1)=3;,80.8,,West,,Open to traffic,Provincial,07/14/2017,64.2,64.2,,64.5,,66.7,,67.1,,69.3,,75,,70.5,70.9,,93.6,66.4,
14 - 405/C,CULVERT - ALLINGHAM DRAIN,,40,42.87899439,-82.4143858,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1975,,,1,Total=3;  (1)=3;,56.1,,West,,Open to traffic,Provincial,07/14/2017,72.4,72.4,,72.1,,72.5,,72.7,,73.3,,66.9,,67,67,,92.5,67.8,
14 - 406/C,CULVERT - CONCESSION #12 NB & SB Structures,,40,42.90000594,-82.41365055,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1975,,,1,Total=4.27  (1)=4.27;,26.21,,West,,Open to traffic,Provincial,07/14/2017,68.2,68.2,,68.2,,69.2,,69.8,,71.1,,67.7,,68.9,69.1,,95.8,68,
14 - 407/C,CULVERT - BISSEL MCARTHUR DRAIN,,40,42.98022448,-82.34431797,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1964,,,1,Total=5;  (1)=5;,51.8,,West,,Open to traffic,Provincial,07/14/2017,62.3,62.3,,62.5,,63.5,,63.8,,63.6,,59.2,,59.4,57.9,,83.2,67.8,
14 - 439/C,CULVERT - ARCHER MUN. DRAIN,,21,43.01142498,-82.00319662,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,2015,2015,,1,Total=3;  (1)=3;,19.5,,West,,Open to traffic,Provincial,08/31/2017,97.3,97.3,,100,,59.6,,60.9,,63.7,,64.8,,66.5,67.3,,92.6,60.2,
14 - 440/C,ARCHER MUN DRAIN,,21,43.02047353,-82.00290474,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,,,2015,1,Total=3.7;  (1)=3.7;,19.6,,West,,Open to traffic,Provincial,08/31/2017,74.9,74.9,,75.2,,70.1,,70.1,,72.1,,72.3,,73.1,73.1,,92.1,68,
14 - 441/C,CULVERT - HIGHLAND CREEK,,21,43.05145305,-82.00192609,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,,,2000,1,Total=3.6  (1)=3.6;,42.2,,West,,Open to traffic,Provincial,08/31/2017,66.8,66.8,,67.6,,68.9,,69.2,,71.2,,71.7,,72.9,66.8,,68.6,68,
14 - 444/C,SITE 14-444,,21,43.1179014,-81.9852809,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2016,2016,,1,Total=5.5;  (1)=5.5;,35,,West,,Open to traffic,Provincial,06/28/2017,98.6,98.6,,62.3,,63.4,,65.4,,68.7,,66.9,,68.3,65,,65.8,49.7,
14 - 445/C,CULVERT - THOMPSON LINE,,21,43.15345263,-81.98439232,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1976,,2016,1,Total=3;  (1)=3;,24,,West,,Open to traffic,Provincial,06/28/2017,72,72,,58.2,,60.6,,61.8,,65.2,,68.6,,69.2,67.8,,68.4,65.8,
14 - 446/C,CULVERT - RAVENWOOD DRAIN,,21,43.18127708,-81.96943808,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1956,1996,,1,Total=3;  (1)=3;,28,,West,,Open to traffic,Provincial,06/28/2017,71.4,71.4,,72.2,,70.5,,71.2,,72.3,,72.3,,88.4,87.9,,95.3,68,
14 - 447/C,CULVERT - RAVENWOOD DRAIN,,21,43.18548157,-81.95290608,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1976,,2017,1,Total=3;  (1)=3;,31.2,,West,,Open to traffic,Provincial,06/28/2017,72.1,72.1,,59.6,,62.5,,63.1,,66.7,,66.7,,67.3,69.6,,68.3,63.9,
14 - 448/C,CULVERT 448,,21,43.19202689,-81.9317027,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1976,,2017,1,Total=3;  (1)=3;,19.5,,West,,Open to traffic,Provincial,06/28/2017,66.5,66.5,,65.5,,66.5,,67.2,,69.4,,60.9,,61.5,61.5,,59.8,59,
14 - 449/C,CULVERT 449,,21,43.20266705,-81.90518436,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1976,,,1,Total=4  (1)=4;,19.5,,West,,Open to traffic,Provincial,06/28/2017,71.6,71.6,,72.4,,72.9,,73.2,,75,,73.9,,75.3,75,,93.4,67.8,
14 - 450/C,CULVERT 450,,21,43.20557988,-81.90122196,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1976,,2016,1,Total=3;  (1)=3;,26.2,,West,,Open to traffic,Provincial,06/28/2017,73.9,73.9,,71.9,,72.5,,72.7,,71.8,,68.9,,69.4,68.5,,91.1,67.5,
14 - 451/C,CULVERT 451,,21,43.20560134,-81.90115711,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1976,,2016,1,Total=6;  (1)=6;,19.5,,West,,Open to traffic,Provincial,06/28/2017,75.6,75.6,,69.7,,71.2,,71.4,,70.5,,71.2,,73.8,74.8,,73.3,67.4,
14 - 458/C,Culvert - Morris Drain,,402,42.98922392,-81.87953174,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,,2009,,1,Total=3.6  (1)=3.6;,24,,West,,Open to traffic,Provincial,08/31/2017,62.4,62.4,,63.3,,63.1,,63.5,,64.1,,65.9,,,,,,,
14 - 463/C,14-463 CULVERT,,40,42.814419,-82.417161,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,,,2007,1,Total=3  (1)=3;,20.8,,West,,Open to traffic,Provincial,07/14/2017,69.2,69.2,,70.1,,72.4,,74.1,,75.4,,75,,75,,,,,
14 - 477/C1,CULVERT - PAUL MUN. DRAIN (EBL),,402,42.99319696,-82.23125725,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1976,,,1,Total=5;  (1)=5;,29.9,,West,,Open to traffic,Provincial,07/19/2017,69.7,69.7,,70,,70.7,,71.2,,72.3,,74.3,,78.7,78.7,,96.8,68,
14 - 477/C2,CULVERT - PAUL MUN. DRAIN (WBL),,402,42.99365492,-82.23123817,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1976,,,1,Total=5;  (1)=5;,29.9,,West,,Open to traffic,Provincial,07/19/2017,71.8,71.8,,71.8,,72.6,,72.9,,76.5,,73.9,,75,75,,96.8,68,
14 - 478/C,CULVERT - PAUL MUN. DRAIN (WBL RAMP),,402,42.99509832,-82.23065388,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1976,,,1,Total=5;  (1)=5;,42.7,,West,,Open to traffic,Provincial,07/19/2017,72.7,72.7,,72.7,,73.2,,73.9,,74.2,,74.1,,76.4,74.6,,95.6,67.8,
14 - 479/C1,Culvert - Park Municipal Drain EBL,,402,42.99297138,-82.21877673,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1976,,2007,1,Total=5;  (1)=5;,26.2,,West,,Open to traffic,Provincial,07/19/2017,73,73,,73.3,,73.9,,73.9,,74.8,,75.8,,74.7,74.7,,97.9,68,
14 - 479/C2,CULVERT - PARK MUN. DRAIN WBL,,402,42.99339583,-82.21890131,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1976,,2007,1,Total=4.88  (1)=4.88;,26.2,,West,,Open to traffic,Provincial,07/19/2017,73,73,,73.7,,74.4,,74.7,,75.5,,75.9,,72.5,72.5,,97.9,68,
14 - 480/C,CULVERT - MONTGOMERY MUN DRAIN,,402,42.99262133,-82.16343921,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1976,,2008,1,Total=5;  (1)=5;,39,,West,,Open to traffic,Provincial,07/19/2017,72.3,72.3,,72.6,,73,,73.3,,74.7,,75.8,,73.2,75.7,,95,68,
14 - 481/C1,CULVERT - MCDONALD-GILATELY DRAIN (EBL),,402,42.99113313,-82.11371196,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1976,,2007,1,Total=4.88  (1)=4.88;,39,,West,,Open to traffic,Provincial,07/19/2017,72,72,,72.2,,73,,73.2,,74.1,,75,,72.1,72.1,,98.1,68,
14 - 481/C2,CULVERT - MCDONALD-GILATELY DRAIN (WBL),,402,42.99170631,-82.11370219,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1976,,2007,1,Total=4.88  (1)=4.88;,44.8,,West,,Open to traffic,Provincial,07/19/2017,72.9,72.9,,73.1,,73.1,,73.5,,73.7,,75,,71.7,71.7,,95.5,68,
14 - 482/C1,CULVERT 482 - EBL,,402,42.99031364,-82.09285196,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1972,,2007,1,Total=3;  (1)=3;,33.22,,West,,Open to traffic,Provincial,07/19/2017,70.4,70.4,,70.6,,71.9,,72.7,,73.6,,75.6,,72.7,73.7,,95.7,68,
14 - 482/C2,CULVERT 482 - WBL,,402,42.99072023,-82.09285505,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1972,,2007,1,Total=3;  (1)=3;,30.2,,West,,Open to traffic,Provincial,07/19/2017,71.7,71.7,,71.9,,72.6,,73.6,,74.1,,75.6,,73.2,74.2,,96.3,68,
14 - 483/C1,CULVERT 483 - EBL,,402,42.99037652,-82.08780012,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1972,,2007,1,Total=3.66  (1)=3.66;,26.2,,West,,Open to traffic,Provincial,07/19/2017,71.5,71.5,,71.7,,72.7,,73.3,,74,,75.7,,71.6,71.6,,94.4,68,
14 - 483/C2,CULVERT 483 - WBL,,402,42.99080549,-82.08781296,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1972,,2007,1,Total=3.66  (1)=3.66;,26.2,,West,,Open to traffic,Provincial,07/19/2017,71.5,71.5,,72.3,,72.4,,73.2,,73.8,,75.7,,72.2,72.2,,94.9,68,
14 - 484/C1,CULVERT 484 - EBL,,402,42.99099463,-82.02786201,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1972,,,1,Total=3;  (1)=3;,26.2,,West,,Open to traffic,Provincial,07/19/2017,66.3,66.3,,66.8,,67.6,,69.4,,70.8,,69.6,,70.5,68.2,,94.8,68,
