OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_MAX_CAP,HOSPICE,HOSPICE_MAX_CAP,SUBSTANCE_USE,SUBSTANCE_USE_MAX_CAP,LONG_TERM_CARE,LONG_TERM_CARE_MAX_CAP,COMMUNITY_LIVING,COMMUNITY_LIVING_MAX_CAP,ACQUIRED_BRAIN_INJURY,ACQUIRED_BRAIN_INJURY_MAX_CAP,LONGITUDE,LATITUDE
Communitas Supportive Care Society,Grant St. West,Residential Care,2375 Grant St,Abbotsford,V2T 2M8,(604)864-6448,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=19C0E56A72594AE588256B9500709BEB,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.3443139,49.0453384
Vancouver Resource Society,Gray House,Residential Care,6957 Gray Ave,Burnaby,V5J 3Y9,(604)436-3970,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=854EBFE5B98D224B88256D27006FC937,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-123.0000315,49.2206633
The Ridge Meadows Association For Community Living,Greystone,Residential Care,19342 Davison Rd,Pitt Meadows,V3Y 1A2,(604)465-0798,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2EAACDD075A0044788256D2700704D00,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.6854977,49.2271727
Guildford Seniors Village 3 LLP,Guildford Seniors Village,Residential Care,14568 104A Ave,Surrey,V3R 1R3,(604)582-0808,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=E1D65DCCBC5E232D8825807D00655BB6,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,98,N,,N,,-122.8183459,49.1925775
AgeCare Investments (BC) Ltd,Harmony Court Care Centre,Residential Care,7195 Canada Way,Burnaby,V5E 3R7,(604)527-3300,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=60F0E375C781158988256DAB007E4FC5,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,80,N,,N,,-122.9418045,49.2246262
Elim Christian Care Society,Harrison at Elim Village,Residential Care,9025 160th St,Surrey,V4N 2X7,(604)583-3546,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=BEDD464F156C7B51882574D50063250A,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,193,N,,N,,-122.7813251,49.1669154
Hazelmere Lodge Ltd. (Atkins),Hazelmere Lodge Ltd.,Residential Care,19475 16th Ave,Surrey,V3Z 9V2,(604)535-2724,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=4E0B2578B9BD45DB88256D2700703E34,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,33,N,,N,,N,,N,,N,,-122.6834676,49.0312779
Hilton Villa Care Centre Partnership,Hilton Villa Care Centre,Residential Care,13525 Hilton Rd,Surrey,V3R 5J3,(604)588-3424,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=9C17B309476330C288257A32007797FF,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,155,N,,N,,-122.8470467,49.202278
Community Living Society,Holly,Residential Care,7473 Holly St,Burnaby,V5E 2C3,(604)526-5216,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=9C78E43547FF587D88256D27006FC93B,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.9478826,49.2227939
Strive Living Society,Holly Park House,Residential Care,14557 105A Ave,Surrey,V3R 1S2,(604)581-0606,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=821FA79683BA1BBB88257181006C0C92,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,6,N,,N,,-122.8187217,49.1941023
Fraser Health - End of Life Care,Holmberg House Hospice,Residential Care,32780 Marshall Rd,Abbotsford,V2S 1J7,(604)852-7070,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=10228019BADEE96188257DFE00651D66,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,Y,10,N,,N,,N,,N,,-122.316119,49.0381015
Delta Community Living Society,House 4,Residential Care,3800 72nd St,Delta,V4K 3N2,(604)946-0051,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=62F131D7D0817D6188256D2700703C2A,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,6,N,,-123.0199383,49.0715134
Inclusion Langley Society,Hunter Park Residence,Residential Care,19977 45A Ave,Langley City,V3A 8C7,(604)220-4526,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=FC6C4EE226C8EC1788256D2700703D13,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.669698,49.0848918
MVS Quality Care Inc,Hylan Home,Residential Care,32223 Hylan Ave,Abbotsford,V2T 1S8,(604)850-8122,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=D7D705EF1F0D875388256B950070A16E,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,N,,Y,10,-122.3317257,49.0486682
Innervisions Recovery Society Of B.C.,Innervisions Recovery Society - 2,Residential Care,1933 Prairie Ave,Port Coquitlam,V3B 1V5,(604)468-2032,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=84254C82EA32E86288256D2700704D61,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,Y,10,N,,N,,N,,-122.7678473,49.2714141
Innervisions Recovery Society Of B.C.,Innervisions Recovery Society - 3,Residential Care,1937 Prairie Ave,Port Coquitlam,V3B 1V5,(604)942-0517,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=E1D673639B4C93EE88256D2700704D60,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,Y,10,N,,N,,N,,-122.7679845,49.2714182
Innervisions Recovery Society,Innervisions Recovery Society Hannah House,Residential Care,11982 Laity St,Maple Ridge,V2X 5A6,(604)466-4215,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=CDEC89D70D72F72788257075006389C4,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,Y,37,N,,N,,N,,-122.6312954,49.2202573
Fraser Health Authority,Irene Thomas Hospice,Residential Care,4635 Clarence Taylor Cres,Delta,V4K 4L8,(604)946-1121,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=DE8D2414B3A7A8C2882586A2007F2B20,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,Y,10,N,,N,,N,,N,,-123.0596797,49.0871726
Aldergrove Lions Seniors Housing Society,Jackman Manor,Residential Care,27477 28th Ave,Aldergrove,V4W 3L9,(604)856-4161,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=B2DEB9AA3C4E844C88256D2700703CFF,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,88,N,,N,,-122.4630403,49.0538232
Classic Care Homes Ltd.,Jans Place,Residential Care,20290 49A Ave,Langley,V3A 3S3,(604)765-4755,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=19D32296F128DB02882583C40077B11F,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,N,,Y,5,-122.6608285,49.0921329
Arcus Community Resources,Keary Street Home,Residential Care,313 Keary St,New Westminster,V3L 3L2,(604)522-4032,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=445D0CCCA82DE8DD88256D27007023F8,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.8937034,49.225832
Strive Living Society,Kerrywood House,Residential Care,7782 Kerrywood Cres,Burnaby,V5A 2G1,(604)444-4351,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=E1B8FF9752955C5288256D27006FC940,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.9381034,49.2484798
484017 BC Ltd,Kimbelee Place,Residential Care,12935 96th Ave,Surrey,V3V 7K6,(604)585-4309,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=9A5DF27774DB370688256D2700703D40,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,10,N,,N,,N,,N,,N,,-122.8640986,49.1773411
Kinghaven Peardonville House Society,Kinghaven Treatment Centre,Residential Care,31250 King Rd,Abbotsford,V2T 6C2,(604)864-0039,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2D495847E9ECC97488256B95007075EE,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,Y,62,N,,N,,N,,-122.358792,49.0307485
Milieu Family Services Inc.,Kings House,Residential Care,8512 164th St,Surrey,V4N 1E5,(604)597-0783,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=EE1E550700CAC0C18825710A007E3B50,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.7675172,49.1576441
Whalley & District Senior Citizens Housing Society,Kinsmen Lodge,Residential Care,9650 137A St,Surrey,V3T 4H9,(604)588-0445,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=C87DC7D53DC6FF6288257997007930DF,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,157,N,,N,,-122.8417995,49.1777345
KinVillage Association,KinVillage,Residential Care,5410 10th Ave,Delta,V4M 3X8,(604)943-0155,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=4C00685677D3A2C688256D2700703C2F,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,101,N,,N,,-123.073648,49.0214852
Kiwanis Care Society (1979) of New Westminster,Kiwanis Care Centre,Residential Care,35 Clute St,New Westminster,V3L 1Z5,(604)525-6471,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=34B6FAEB2AAB91B388256D27007023D2,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,75,N,,N,,-122.9150878,49.2232118
ALAJ Holdings Ltd.,La Rosa de Matsqui,Residential Care,28711 Huntingdon Rd,Abbotsford,V4X 1A8,(604)856-1555,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=4D0C890FD05684CC882578E8007236CD,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,15,N,,N,,N,,N,,N,,-122.4285973,49.0178327
Arcus Community Resources Ltd.,Ladner 1,Residential Care,5281 Westminster Ave,Delta,V4K 2J4,(604)940-1290,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2C1A082589B2027788256D2700703DFC,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-123.0760699,49.099275
Arcus Community Resources,Ladner 2,Residential Care,5010 Westminster Ave,Delta,V4K 2H9,(604)940-1061,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=DB8DA4318572395788256D2700703E67,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-123.0812386,49.0939104
CSH (Langley Gardens) Inc,Langley Gardens,Residential Care,8888 202nd St,Langley,V1M 4A7 ,(604)888-0228,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=ADEDE404D530417E88256D2700703E07,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,92,N,,N,,-122.6598375,49.1654942
Langley Care Society,Langley Lodge,Residential Care,5451 204th St,Langley,V3A 5M9,(604)530-2305,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=FC17DF0AFACFD82888256D2700703D1B,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,139,N,,N,,-122.6573035,49.1015672
Cheshire Homes Society of BC,Larkin House,Residential Care,2583 Larkin Ave,Port Coquitlam,V3B 2H8,(604)944-6885,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=B2C082512D30B10588256D2700704BFD,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,N,,Y,5,-122.7851203,49.2777859
Kinsight Community Society,Larkspur House,Residential Care,1310 Larkspur Ave,Port Coquitlam,V3B 1G7,(604)942-5481,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=A29BDAE2518DEC4088256D2700704CE0,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.7510197,49.2660077
Last Door Recovery House,Last Door Recovery Centre,Residential Care,323 8th St,New Westminster,V3M 3R3,(604)525-9771,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=9AF258018C2673DA88256D27007023FA,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,Y,20,N,,N,,N,,-122.9191564,49.2078235
Laurel Place Care Centre Partnership,Laurel Place Care Centre,Residential Care,9688 137A St,Surrey,V3T 4H9,(604)582-1135,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=23B2EEF7EB66CF208825843F00760B0E,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,175,N,,N,,-122.8417804,49.1784187
Fraser Health,Laurel Place Hospice,Residential Care,9688 137A St,Surrey,V3T 4H9,(604)930-6808,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=BB20ACFC6F15E61688257463006AE797,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,Y,20,N,,N,,N,,N,,-122.8417804,49.1784187
Maplewood Care Society,M.S.A. Manor,Residential Care,2510 Gladwin Rd,Abbotsford,V2T 3N9,(604)853-5831,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=43720E5F061EB89A88256B950070A3FD,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,34,N,,N,,-122.3144389,49.0475441
Bria Communities Limited Partnership,Magnolia Gardens,Residential Care,5840 Glover Rd,Langley,V3A 9K3,(604)514-1210,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=469E6C4180D325A788257EAF007AA210,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,40,N,,N,,-122.6494693,49.1082447
Kinsight Community Society,Manning House,Residential Care,1560 Manning Ave,Port Coquitlam,V3B 1K5,(604)945-8548,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=8F8500D9B5805A3888256D2700704D2E,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.7578008,49.2680766
Canadian Reformed Senior Citizen Home Society,Manoah Manor,Residential Care,20265 54A Ave,Langley City,V3A 3W6,(604)530-9895,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=1A127F080B81E0BA88256D2700703D0D,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,15,N,,N,,-122.6608587,49.101831
Western Human Resource Corp.,Manuel House,Residential Care,1709 232nd St,Langley,V2Z 1K7,(604)514-0146,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=426AEDE90EE16DB48825720C00653F24,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,3,N,,-122.5828916,49.0324939
posAbilities Association of BC,Maple Ridge House,Residential Care,12210 232A St,Maple Ridge,V2X 0R2,(604)466-3241,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=3BA094045450662088257C390062285F,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.5783552,49.2245368
Maple Ridge Seniors Village 3 LLP,Maple Ridge Seniors Village,Residential Care,22141 119th Ave,Maple Ridge,V2X 2Y7,(604)466-3053,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=E0147DBF4EC1696B8825807D0081F17B,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,108,N,,N,,-122.6084592,49.2193789
Fraser Health,Maple Ridge Treatment Centre,Residential Care,22269 Callaghan Ave,Maple Ridge,V2X 2E2,(604)467-3471,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=697AD51DD801BAC188256D2700704C41,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,Y,60,N,,N,,N,,-122.6051618,49.2137784
Maplewood Care Society,Maplewood House,Residential Care,1919 Jackson St,Abbotsford,V2S 2Z8,(604)853-5585,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=0A05281051C0581C88256B99006553D2,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,78,N,,N,,-122.3091484,49.0366071
Sherwood Crescent Manor Ltd.,Mayfair (The),Residential Care,33433 Marshall Rd,Abbotsford,V2S 1K8,(604)855-7217,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=F9FE7A6C362A5ECB88257CFD005BE87B,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,84,N,,N,,-122.2976893,49.039494
Milieu Family Services Inc.,McLean House,Residential Care,1587 Manning Ave,Port Coquitlam,V3B 1K6,(604)582-1811,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=0C6E6D26540BF15B882585210082B523,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.7584245,49.2685908
Arcus Community Resources,Meadowbrook,Residential Care,12412 Meadowbrook Pl,Maple Ridge,V4R 2H6,(604)460-1235,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=7C6743A1F131C97388258416007F5FDB,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.635215,49.2279306
Mennonite Benevolent Society,Menno Place - Menno Home,Residential Care,32910 Brundige Ave,Abbotsford,V2S 1N2,(604)853-2411,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=A2F72071B9D73FEB88256B9500707789,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,196,N,,N,,-122.3120543,49.0400757
Community Living Society,Mentmore,Residential Care,523 Mentmore St,Coquitlam,V3J 4P5,(604)931-6551,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=ED8E780D363144C788256D2700704C05,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.8702195,49.2503872
MSA Society For Community Living,Mill Lake Residence,Residential Care,33056 Mill Lake Rd,Abbotsford,V2S 2A3,(604)854-2911,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=FB1E2786A6A3E60A88256DD0007DCACA,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.3077854,49.0481178
